,jk,job_title,job_description
120,jk=286ee596ac4644b7,Mailroom Clerk Assoc,"MAILROOM CLERK ASSOCIATE

WHAT IS THE OPPORTUNITY?
Performs Mailroom Associate duties using Bank vehicles, Mail Equipment, and Tracking System. Pick up and deliver mail from designated Post Offices, branches, and departments. Sort mail by cost center, and deliver to internal departments. Operate Postage Meters, and apply appropriate amount of postage for class of mail. Prepare incoming and outgoing Parcels; receive Courier Deposits, and scan into Tracking System. Process and record volumes for BBM deposits, Statements, and Notices. Performs other duties as assigned or requested.

Banking and Investment Services Division
Banking and Investment Services plays an integral role in leading the strategic vision and execution of all banking operations. Our servicing and operations professionals partner closely with all of our lines of business to carry out critical functions, including client/deposit servicing, contact center operations, payments processing, and trade and lending operations, while identifying and mitigating risk throughout the organization. Servicing and operations professionals seek to transform and define an integrated support model through automation and cutting-edge digital technologies, to deliver an excellent experience for our clients and businesses.

WHAT WILL YOU DO?
Performs Mailroom Associate duties adhering to established procedures, practices, routes and schedules using Bank equipment including company vehicles. Follows standard mail handling instructions.
Picks up mail from designated U.S. Post Offices and Bank branches/departments and transports to mailroom. Secure mail prior to loading into Bank vehicle or Mail Cart.
Picks up and delivers Inter-Office or US Mail throughout the CNB Buildings &amp; Departments.
Sorts mail according to destination (branch/department, U.S. Post Office, customers) or individual and files into bins/bags for delivery based on destination and/or method of delivery (courier, U.S. Post Office, Fed Ex, etc).
Deliver outgoing mail (regular, registered and certified) including negotiable items to U.S. Post Office.
Processing of BBM deposits and Client Notices / Client Statements.
Receives, processes and prints any virtual mailroom items received daily in our CNB Mailroom email box
Works with the direction of the Mailroom Lead/Supervisor to help other departments in their shipping needs or other special projects when needed.
Receive Courier or Mail Parcel Packages containing original docs or Deposits, then scans them into the Tracking or Doc Image System.
Must be available to cross train in other Mailrooms Job Duties, and be flexible to work in other local Mailroom locations when asked by his Manager.
Performs other duties as assigned or requested.


WHAT DO YOU NEED TO SUCCEED

Must-Have*

H.S. Diploma
Valid California Driver’s License

Skills and Knowledge

Ability to lift and/or carry up to 50 pounds and stand for extended period of time.
Ability to operate a computer and postage machine
Ability to operate a motor vehicle
Ability to communicate with bank personnel and good writing skills


To be considered for this position you must meet at least these basic qualifications
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job.

INCLUSION AND EQUAL OPPORTUNITY EMPLOYMENT
City National Bank is an equal opportunity employer committed to diversity and inclusion. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status or any other basis protected by law.

ABOUT CITY NATIONAL
We start with a basic premise: Business is personal. Since day one we've always gone further than the competition to help our clients, colleagues and community flourish. City National Bank was founded in 1954 by entrepreneurs for entrepreneurs and that legacy of integrity, community and unparalleled client relationships continues to drive phenomenal growth today. City National is a subsidiary of Royal Bank of Canada, one of North America’s leading diversified financial services companies.

City National Bank requires all colleagues to be fully vaccinated against COVID-19 to work on-site at any of our locations.
Equal Opportunity Employer Minorities/Women/Protected Veterans/Disabled"
121,jk=34689cf633487f48,Data Entry/File Clerk (Part Time),"International investment banking firm located in Century City seeks a Part-Time Data Entry/ File Clerk to work with our Compliance Department team. Reporting to the Licensing Manager, this position is in-office for 2 to 3 days per week (16-24 hours per week), holidays excluded. Responsibilities include heavy scanning and filing of highly confidential documents, opening mail, excel and data entry use.
Basic Qualifications:
COVID vaccination required, subject to applicable state and federal law
Prior experience working in a confidential work setting
Basic experience with Microsoft Excel
Insert/delete columns/rows in a worksheet
Formatting numbers and text
Sorting worksheets
Inserting and deleting worksheets
Experience with Microsoft Word
Perform basic typing functions
Simple mail merges to produce file labels
Excellent organization skills
Good written and spoken communication skills
Ability to alphabetize
Typically works alone and must be able to manage time efficiently
Standing for long periods of time during scanning and could include some heavy lifting of boxes
Preferred Qualifications:
Experience in StarCompliance or similar trade surveillance system a plus
We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, gender identity, sexual orientation, protected veteran status, or any other characteristic protected by law."
122,jk=6d70058d5de4215e,Farmers Market Vendor,"$17.00/hr
 2-3 Days out of the week
Your role as a Farmers Market Vendor
Delivering the highest level of customer service to each guest
Engaging with customers and educating them on our products and their health benefits.
Carrying out sales transactions.
Setting up/disassembling farmersmarket stand.
Maintaining a clean and presentable space.
Packing daily production of breads, baked goods, and retail items with speed and accuracy into bags/boxes/sealed containers for our retail bakeries, wholesale customers, and online orders.
Ensuring compliance with local, state and federal regulations for food handling and sanitation standards.
Other duties and responsibilities that may be assigned from time to time.
***Must have a valid Drivers License with a clean record.
This is a great opportunity to work with a start-up and for you to rise with Breadblok!
The Breadblok Story
Breadblok is far from your ordinary bakery; we are THE best French Provençal gluten-free bakery and café in the world. Working at Breadblok means the opportunity to work amongst world-renowned Chefs and top talent that as a whole are revamping the gluten-free bread industry one batch at a time. Our mission is to create the most delicious gluten-free bread, baked goods and food for everyone, unrivaled in taste and quality, that satisfy the needs of every health-conscious lifestyle.
As a member for our production team, you will be working with top-of-the-line equipment in a state-of-the-art commissary, and a team who works hard to create the best quality foods and adheres to the highest of standards. Our loyal and devoted customers all over the world swear by our artisanal products and claim that Breadblok sets a new standard in gluten-free baking. Even those who aren’t gluten-free - love Breadblok.
Why Join Breadblok?
At Breadblok, we realize that creating a ""Happy"" workplace results in motivated Team Members, which translates to offering quality products and ""Happy' Customers.
Our ultimate goal is to find great people, leverage their diverse skills and abilities, and develop them to their fullest potential
For more information, please visit the Breadblok website at www.breadblok.com
Breadblok is an equal opportunity employer that is committed to diversity and inclusion in the workplace. We are committed to providing equal employment opportunities to all employees and applicants without regard to race, religion, color, sex (including childbirth, breast feeding and related medical conditions), gender, gender identity or expression, sexual orientation, national origin, ancestry, citizenship status, uniform service member and veteran status, marital status, pregnancy, age, protected medical condition, genetic information, disability, or any other protected status in accordance with all applicable federal, state and local laws.
k1MjEQs1a4"
123,jk=a8cc35255bfa4116,Research Assistant,"Under the supervision of the Principal Investigator and Project Coordinator at the Center for LGBTQ Research, Advocacy, and Health at the Fielding School of Public Health, the Research Assistant provides recruitment, enrollment, and data collection support with the ongoing implementation of randomized control trials to test behavioral interventions targeted in three key areas: 1) HIV prevention for young transgender women; 2.) PrEP uptake and adherence support for at-risk transgender women; 3.) PrEP uptake and adherence support for male sex workers

Typical duties include: Implementing recruitment and retention efforts that lead to study participation; Arranging and conducting studying visits with participants; Coordinating with other community partner recruitment sites; maintaining regulatory procedures and assisting in development of study materials.

Additional duties include: Assisting with the publication of research findings through editing, writing, and preparation of manuscripts and conference presentations; Assisting with grant writing and study progress reports as needed; Maintaining current knowledge of HIV research by reading medical journals, articles and other HIV-related publications; Attending conferences, seminars, forums, trainings and other presentations pertinent to the field.

Percentage of Time:
100

Shift Start:
8:30 am

Shift End:
5:00 pm

Qualifications for Position

12
Records

Qualifications

Required/Preferred

Bachelor's degree in social science research or related field

Preferred

Prior experience conducting human subjects research highly desired

Preferred

Prior experience with REDCap database software

Preferred

Experience with HIV risk reduction

Preferred

Bilingual (English and Spanish)

Preferred

Familiarity and comfort working with diverse groups of individuals including but not limited to people living with HIV, people who identify as LGBTQ, people who engage in sex work, and people with substance use problems

Required

Demonstrated ability to take responsibility for assignments and deadlines and to work as part of a team

Required

Strong organizational skills and ability to multitask and prioritize

Required

Excellent communication skills (both written and verbal) and computer skills (Microsoft Word, PowerPoint, Outlook)

Required

Willingness to travel to recruitment sites in the greater Los Angeles area regularly for recruitment and study visits

Required

Experience working in an ethnically, culturally, and racially diverse environment

Preferred

Reliable transportation

Required

Additional Posting Information

Bargaining Unit:
99-Policy Covered

Application Deadline:
01-09-2022

External Posting Date:
"
124,jk=8a0dd3b7af793e62,Overnight Member Services Representative,"*In order to be considered as a candidate for this position, it is required you complete the 2nd step application. Upon clicking ""Submit Application"", you will be directed to this 2nd step""*

Job Summary

Essential Duties and Responsibilities
Greet members, prospective members and guests, providing exceptional customer service.
Respond to member questions and concerns in a timely and professional manner and elevate to Assistant Manager or Manager as needed.
Handle all front desk related activities including:
Answer phones in a friendly manner and assist callers with a variety of questions.
Check members into the system.
New member sign-up.
Take prospective members on tours.
Facilitate needed updates to member’s accounts.
Close shift for that business day.
Create a bank deposit for next day.
Assist in maintaining the neatness and cleanliness of the club.
Cleaning and sanitizing of all exercise equipment and Black Card spa amenities.
Ensuring restrooms are clean and sanitized, stocked and clutter free by following the routine cleaning schedule.
Perform a comprehensive walk of all club areas; quickly fix any safety/policy issues and address cleanliness concerns.
Qualifications/Requirements
Customer service background preferred.
Must be 18 years of age or older.
Basic computer proficiency.
A passion for fitness and health.
Upbeat and positive attitude!
Punctuality and reliability is a must.
Ability to work overnights.
Exceptional customer service skills; able to interact in a positive and professional way with members and co-workers, exceeding the member’s expectations.
Strong listener with the ability to empathize and problem solve.
Demonstrate diplomacy in all interactions while using appropriate behavior and language.
High School diploma/GED equivalent preferred.
Physical Demands
Continual standing and walking during shift.
Continual talking in person or on the phone during shift.
Ability to work 3rd shift (overnights).
Must be able to occasionally lift up to 50 lbs.
Will encounter toxic chemicals during shift.
Moving self in different positions, including bending, climbing, balancing, kneeling, crouching, and twisting, to accomplish tasks.
Why Join Planet Fitness?

Philosophy

We are here to provide a unique environment in which anyone, and we mean anyone, can be comfortable. A diverse, Judgement Free Zone where a lasting, active lifestyle can be built. Our product is a tool, a means to an end; not a brand name or a mold maker, but a tool that can be used by anyone. We seek to perfect this safe, energetic environment, where everyone feels accepted and respected. We as employees take pride in the fact that we are a non-intimidating, welcoming gym. Unlike most traditional gyms, Planet Fitness does NOT cater towards bodybuilders or power lifters, but is instead focused on general fitness. We strive to provide a comfortable atmosphere for EVERYONE in what we call the Judgement Free Zone (JFZ).

Mission Statement At PF Supreme, we’ve worked hard to become one of the largest franchisee groups in Planet Fitness, the most recognizable name in the fitness industry. We strive to create a fun and respectful environment, where our team of motivated individuals can learn and grow just as quickly as our organization. Our purpose is to continuously expand the Planet Fitness brand, better the lives of our team with fulfilling career, and truly deliver the Judgement Free experience to our members. We believe by being passionate in our work and fearless in our approach, that our potential has no limits. Job Benefits include
Free Black Card gym membership.
Career growth opportunities.
Discounts on merchandise sold at the club.
Benefits including: medical, 401k, and supplemental insurance.
Discounts on movie tickets, theme parks, hotels, attractions, and much more.
Employees at a franchise location are employed by the Franchisee and are not employees of PFHQ (the Franchisor). PFHQ neither dictates nor controls labor or employment matters for franchisees or their employees, and does not retain any reserved authority to control the terms and conditions of employment for franchisees or their employees. Each franchisee is responsible for ensuring compliance with local, state and federal law."
125,jk=faa8189b9b32a298,Warehouse Associate,"Local pickup and deliveries, warehouse and forklift. Bilingual preferred. Willing to learn about documentation and frwight forwardingJob Type: Full-timePay: $15.00 - $21.00 per hourBenefits:Dental insuranceHealth insuranceLife insurancePaid time offSchedule:8 hour shiftOvertimeWeekend availabilityAbility to commute/relocate:Los Angeles, CA 90021: Reliably commute or planning to relocate before starting work (Preferred)Experience:Warehouse experience: 1 year (Preferred)Language:English (Preferred)Work Location:One locationWork Remotely:NoWork Location: One location"
126,jk=c120d78efbca04ef,Car Cleaner (Part-Time),"Now offering $500 Hiring Bonus to eligible employees after 90 days!

Pay Rate:

Be part of a supportive and connected family-friendly team where you’ll be appreciated and valued as much as our customers. Whether you have experience as a janitor, custodian or housekeeper, and enjoy cleaning and detailing or have no experience at all, we’re always looking for passionate, high-energy people like you.

What you’ll do:

You will detail the interior and exterior of vehicles including cleaning, washing, vacuuming, removing trash, etc. and fill gas tanks and check fluid levels. Other responsibilities include checking for automotive damage, ensuring cars are operational and driving and parking vehicles on the lot as needed.

What we’re looking for:

Valid Driver’s License and clean driving record
Flexibility to work days, evenings, overnights weekends, and holidays
Ability to drive multiple types of vehicles
Willingness to work outdoor in weather conditions with moderate noise level

Perks you’ll get:

Dental &amp; Vision Insurance
Eligible to elect voluntary benefits including: Group Auto Insurance, Group Home Insurance, Pet Insurance, Legal Assistance, Identity Theft Protection, Life and AD&amp;D Insurance, Accident Insurance, and Critical Illness Insurance
Contribute up to $270 as a tax-free benefit for public transportation or parking expenses
401(k) Retirement Plan with potential company matched contributions (restrictions apply)
Training to learn the business and enhance professional skills
Employee discounts, including discounted prices on the purchase of Avis/Budget cars
Access to an Employee Assistance Program for services including counseling, financial and legal consultation, referrals for care service and more
Community involvement opportunities

Who are we?

Glad you asked! Avis Budget Group is a leading provider of mobility options, with brands including Avis, Budget &amp; Budget Truck and Zipcar. With more than 70 years of experience and 11,000 locations in 180 countries, we are shaping the future of our industry and want you to join us in our mission. Apply today to get connected to an exciting career, a supportive family of employees and a world of opportunities.

The fine print:

Avis Budget Group is an equal opportunity employer – M/F/Veterans/Disabled.
This role requires the ability to lift up to 15 pounds, and continuously stand, walk, and enter and exit vehicles. This advertisement does not constitute a promise or guarantee of employment. This advertisement describes the general nature and level of this position only. Essential functions and responsibilities may change as business needs require. This position may be with any affiliate of Avis Budget Group."
127,jk=4f81925c65de473f,Warehouse Associate,"Prepare and complete orders for delivery or pickup according to schedule (Pick, pack, wrap, label, ship)Receive and process warehouse stock &amp; products (unload, label, store)Perform inventory control (s) and keep quality standards high.Keep a clean and safe working environment and optimize space utilizationCommunicate and cooperate with supervisors and coworkersFollow quality warehouse service standards and comply with procedures, rules and regulationsAny other duties assigned by managementBenefits: Health InsuranceDental InsuranceVision Insurance401KEmployee DiscountsPaid Sick TimeAccrued Vacation Time9 Paid HolidaysJob Type: Full-timeBenefits:401(k)Dental insuranceEmployee discountHealth insurancePaid time offRetirement planVision insuranceSchedule:8 hour shiftDay shiftHolidaysMonday to FridayOvertimeWeekend availabilityCOVID-19 considerations:Enviorscope Sanitation of all locations, regular cleanings, and updated internal cleanliness guidelines, designed break space, providing gloves, masks and cleaning supplies. scheduling and zoning to adhere to social distancingAbility to commute/relocate:Los Angeles, CA 90007: Reliably commute or planning to relocate before starting work (Required)Application Question(s):What is your desired compensation? (please submit a range to be consider)Experience:Customer service: 1 year (Required)Warehouse: 2 years (Required)Shift availability:Day Shift (Required)Work Location:One locationWork Remotely:NoWork Location: One location"
128,jk=ae6d95cf0dccc793,Caregiver for Family Member : Farsi Speaking,"We are looking for a competent Caregiver to care for our clients in a professional and compassionate manner.General ResponsibilitiesAssist clients with ambulation and mobility around the house or outside (doctor’s appointments, walks, etc.)Assist clients with personal care and hygieneHelp clients with Activities of Daily LivingDo errands for clients as neededPerform light housekeeping duties that clients can’t complete on their ownBe a pleasant and supportive companionReport any unusual incidentsAct quickly and responsibly in cases of emergencySkills and RequirementsProof of US Work Authorization2 years of Caregiving Experience OR 1 year CNA/HHA experience2 Work ReferencesCriminal Background CheckProfessional Liability InsuranceExcellent knowledge of emergency responseKnowledge of housekeeping activities and cooking with attention to dietary constraintsWillingness to adhere to health and safety standardsRespectful and compassionateGood time management skillsOutstanding communication and interpersonal skillsStrong ethicsPhysical enduranceBenefitsLocation: You can choose your clientSchedule: You can choose your scheduleRate: Negotiate your Rate with ClientsFill and Register through the 1+1 Cares App:iPhone:https://apps.apple.com/us/app/1-1-cares/id1492082087?ls=1Android:https://play.google.com/store/apps/detailsid=com.oneplusone&amp;hl=en_USJob Types: Full-time, Part-timePay: From $18.00 per hourSchedule:10 hour shift12 hour shift8 hour shiftDay shiftHolidaysMonday to FridayNight shiftOn callWeekend availabilityExperience:Caregiving: 2 years (Required)License/Certification:Live Scan (Preferred)Work Location: Multiple Locations"
129,jk=3887a516edeb40e6,Make-Up & Hair Artist,"Dolls Kill is a global fashion brand that empowers everyone to celebrate their individuality through radical, unapologetic self-expression. Our cult following of over 5 million social media followers includes some of the most influential personalities in music, art, pop culture, and fashion. We're also backed by strong consumer-focused investors who share in our vision of building one of the world's next great consumer brands.Our team is growing quickly in both our SF and LA locations and we are hiring across all business functions. We are looking for team members who are equally passionate about what we do and excited about joining the Dolls Kill crew.*About Us*Named ""The Fastest Growing Retailer in the US"", Dolls Kill is a fashion brand that boldly empowers young women to celebrate their individuality. With over two million followers on Instagram, we've become a cult favorite among DJs, celebrities and artists around the world.Based in San Francisco, we have an amazing team of retail leaders, scrappy hackers, creative marketers and fashion trendsetters who are fun to work with and serious about what they do. We're also backed strong consumer-focused investors who share in our vision of building one of the world's next great consumer brands. Look for our latest press mentions in Business Insider, Racked, TeenVogue, PopSugar, Elle, and more.*About the Role*We are looking for a talented Hair and Makeup Artist to join our dynamic Creative Team. In this role you would be responsible for executing specific looks for our models at the stylist’s direction. You would be responsible for the beauty aspect of our product and editorial assets. You would be working alongside a team of photographers, stylists, and producers and will be expected to take ownership of the hair and makeup aspect of production. We have a team of creatives that you will work closely with on all projects and tasks.ResponsibilitiesDaily application and styling of both Make-up and Hair.Punctuality and ability to work against a tight timelineAbility to contribute to creative ideasWork, think, and execute quickly without jeopardizing qualityDrive to take ownership of hair and makeup aspect of productionKeep inventory and take responsibility for all and makeup and associated toolsKeep the makeup area organizedAvailability to be present for entire scheduled shootsRequirementsA minimum of 5 years of hair and makeup experienceAbility to understand styling concepts and create ideas for looksConfident in both makeup and hair abilitiesA natural drive to take ownership of hair and makeup aspect of productionAbility to take direction and feedback wellFlexible with schedule and able to work long hours if neededProfessional demeanor and work styleKnowledgeable on new products and trendsExperience working with a diverse range of skin and hair typesJob Type: Full-time"
130,jk=054e40977b650fa3,Cannabis Cultivation Technician,"Must follow all applicable policies, procedures, and guidelines. This includes the safe and proper operation of any/all applicable machinery, instrumentation, and equipment
Promote a safe, consumer-focused, and collaborative working culture
Daily operational and safety checks within the extraction room. Prepare raw materials for extraction
Work as part of a team to meet production schedules.
Record data in all necessary software platforms
Good communication skills, verbal and written, with co-workers and management
Practice good housekeeping habits throughout the facility with focus and personal contributions towards a clean and organized assigned work area at the end of the assigned shift
Contribute toward a desirable workplace culture
Capable of working with hazardous chemicals and able to identify and report unsafe equipment, conditions and practices so that they may be corrected prior to an incident.Flexibility and the ability to shift work schedule according to production needs.
Intake of newly arrived frozen cannabis
Tracking of cannabis freezer inventory
Working under the instruction of the process and post-process department leads to ensure the efficient operation of the manufacturing line
Other duties as assigned."
131,jk=e70ee8de7182dfc8,Delivery Driver,"In this role you will work to provide a genuine experience to customers with professionalism, poise, and patience. A passion for cannabis coupled with a strong adherence to protocol and compliance are a must for this role.

The Driver will work to deliver items to clients or businesses in a safe, timely manner. This person will be responsible for reviewing orders before and after delivery to ensure that orders are complete, the charges are correct, and the customer is satisfied. Responsibilities include:

Load the delivery van at the beginning of the day for deliveries that will happen throughout the day
Interpret and execute state laws and regulations required when delivering medical cannabis
Working knowledge of vehicle maintenance and ability to complete routine maintenance tasks (changing tires, check and add fluids, etc)
Manage documents associated with medical cannabis delivery, ensuring that proper documents are kept and manifests are returned completed and ready for filing
Maintaining positive professional relationships with dispensary staff
Timely and effective communication when issues arise while making deliveries
Other duties as assigned

Required Skills
Must be 21 years or older and pass any and all required pre-employment screenings
Must have a clean motor vehicle driving record (minor violations may be considered)
Must have a valid drivers license
Ability to communicate professionally in person to effectively explain all variations of cannabis products to guests, if necessary
Basic math skills with the ability to handle cash transactions
Must be able to sit and drive for extended periods of time while maintaining focus.
PHYSICAL DEMANDS: Must be able to lift, carry and balance up to 50 lbs (100 lbs with assistance) AND must be able to do so with extreme care and caution when working with product.
Must be able to lift and carry up to 20 lbs
Desired Skills
Professional knowledge and working experience of cannabis products from a regulated retail or medical distribution center
Computer skills working within a POS system as well as cash register and payment processing
About Careers in Cannabis
Welcome to the Careers in Cannabis network.

By creating your Careers in Cannabis X Profile™, you take the first step towards finding your next job opportunity – and career step – in the fast-growing cannabis industry.

Built from the ground up for the industry, the Careers in Cannabis platform is designed to make the process of finding your next gig intuitive. Through our matching technology, you can easily assess your personal fit for various skills and roles across the cannabis industry.

Your profile provides immediate access to good local job openings, and you will be notified of new job openings immediately as companies post to CareersinCannabis.com.

You’re harvesting the power of X Profile™ to find your fit and your future gig.

Benefits

Equal opportunity employer
Careers in Cannabis is an equal opportunity employer and we welcome applications from all backgrounds regardless of race, color, religion, sex, ancestry, age, marital status, sexual orientation, gender identity, disability or any other classification protected by law."
132,jk=326cedf4bac368f0,Mobile Detailer,"Hello and Welcome! Our company is looking for Mobile Detailers in your area, at All American Mobile Detailing are dedicated and excited to get you working right away in the field. Apply now!What we have to offer at AAMD is mobile detailing services for all Cars, Boats, RVs, and Aircraft at our clients location of choice.What we offer to you is $20/hour plus tips, as well as mileage and materials compensation.If you are lacking in tools and equipment we can help you out with that as well! All you need is a solid form of transportation and we can help you with the rest!We are dedicated to getting you set up to do the best job possible so we handle your bookings and scheduling, as well as having office staff working 7 days a week that you can call with the sole purpose to help you, the detailer.If you don't have experience, we have extensive training videos that go over all you will need to know about the jobs you will be doing! If you do have experience but not with certain items like a boat or RV that's OK! We are able to assist you in this process of learning. Expanding your field of expertise will mean we can book you with more jobs and jobs that are more expensive.Apply today and we will be able to reach out to set up an interview via email, phone, or messaging on here!We are excited to hear from you, Thank you again!Job Types: Full-time, Part-time, ContractPay: $20.00 - $30.00 per hourSchedule:8 hour shiftDay shiftSupplemental Pay:Commission payTipsApplication Question(s):Are you at least 18 years of age?License/Certification:Driver's License (Required)Work Location: Multiple Locations"
133,jk=735b15435aab780b,"Temp, Music Librarian","JOB SUMMARYWe are looking to hire a part-time Music Librarian to assist with ingesting music assets into our internal music library. The successful candidate should be detail oriented and have a love of music.This position is for 15-weeks from mid-January 2022 to the beginning of April 2022.JOB SKILLS AND EXPERIENCEIngest received audio into Kobalt's music library for access by Kobalt synch creativesTagging ingested music with keywords to assist Kobalt synch creatives in their searchesDetailed orientedExperience in and basic knowledge of iTunes, Spotify and music files (i.e. WAV, AIFF, MP3)A music enthusiast as this role will see the candidate working across various genres and various musical erasSending reports to the team of newly ingested audioWorking with the writer and publisher relations team to identify songs in need of registrationWHY CHOOSE US?At Kobalt we've prioritized creators since we first started in 2000. Our music services and the technology we've built helps make the industry more fair and rewarding for artists. We're trusted by some of the world's biggest names like Childish Gambino, Akon, Freya Ridings, Paul McCartney and The Red Hot Chili Peppers and represent more than 40% of the top 100 songs and albums in the U.S. and U.K.We thrive on creativity and are committed to championing diversity. We're dedicated to inclusiveness and provide all the resources and benefits you need to grow your career and reach your potential. We offer competitive compensation packages, professional development opportunities, and an entrepreneurial culture that makes working here not just fun, but also rewarding.-Kobalt is an equal opportunity employer encouraging diversity in the workplace. All qualified applicants will receive consideration for employment without regard to race, color, national origin, gender, age, religion, disability, sexual orientation, or veteran status, or any other status or characteristic protected by law.Job Types: Part-time, Temporary"
134,jk=d2c067d800aa6168,Sales Associate/Cashier,"The Sales Associate is a key employee whose actions have a direct effect on the store quality for our guests, in addition to ensuring profitability of our stores. This position is responsible for providing prompt, efficient, effective, safe and courteous quality services to the guest.Cultivate a G * U * E * S * T in Mind Culture.1. Focus on the wildly important.2. Be a leader.3. Be committed to the guest.ResponsibilitiesProvides prompt, courteous customer service by discovering guest’s needs.Rings up all sales on cash register, or point-of-sale equipment properly and accurately. Using suggestive selling techniques.Maintains ethical integrity, and honesty while handling money, checks, and other types of payment received for products sold.Follows policies and procedures established to prevent loss or cash and merchandise due to actions by employees, vendors, and customers. Ensures proper cash handling procedures and policies are followed.Safeguards cash and merchandise; follow company robbery prevention and reaction procedures as provided in the Emergency Response and Reporting Procedures and Policy Manual.Performs duties necessary to maintain internal and external store cleanliness; in addition to basic upkeep so that floors, windows, restrooms, food preparation areas, shelves, and counters stay clean and presentable at all times.Reacts and reports to customer complaints tactfully and promptly.Follows company policy and procedure and all laws governing restricted beverage and tobacco sales.Performs service transactions in accordance with company policy such as s lottery sales and redemption; vendor coupon redemptions; company approved credit cards, and etc.Adheres to company policies when related to safety and security. Looking for and eliminating safety hazards; reporting unsafe acts or conditions to management.Prepares required accident/incident reports; immediately reporting such activities to the Facility Manager.Maintains gas island cleanliness, safety, and stock levels (oil spills, windshield fluid, pumps, and etc.)Complies with all food safety behaviors including: proper handling procedures, temperature requirements, and established sanitary standards.Receives products from vendors, following correct procedures. Assist management in vendor check-in.Maintains merchandise including: proper rotation, storage, stocking, and pricing promptly/accurately.Assists in maintaining proper inventory levels and audits.Maintains knowledge of all products offerings and promotions.Completes all required paper work accurately (vendor invoices, job assignment sheets, etc.)Maintains a professional appearance in accordance with company uniform and personal appearance policy.Performs other duties as assigned.Reports to work on time and when scheduled.QualificationsEducation/ExperienceMust be able to sell age restricted products such as Tobacco and alcohol. High School diploma or GED is preferred. Previous sales experience is preferred. Maintains current food handlers or food safety certification as required by county. Must be authorized to work in the United States.Knowledge and SkillsDemonstrates sales and customer services skills. Ability to read and interpret documents such as rules, operating and maintenance instructions and procedure manuals. Ability to write routine reports and to speak effectively before customers and employees. Ability to add, subtract, multiply and divide in all units of measure using whole numbers, common fractions and decimals. Ability to exercise sound judgment and work with minimum supervision. Ability to perform basic computer skills.Physical FunctionsMust be able to stand and/or walk for full shift.Ability to occasionally lift and/or carry up to 50 pounds from ground to overhead, and/or 60 pounds from ground to waist level (i.e., assisting in stocking/maintaining inventory levels.)Ability to push, and pull with arms up to a force of 128 pounds (i.e., utilizing hand truck.)Ability to bend at the waist with some twisting, up to one hour of the workday.May be required to climb a ladder and/or stool, kneel or crouch to store or retrieve materials and/or place or remove signs.Ability to grasp, reach, and manipulate objects with hands all day. This handwork requires eye-hand coordination and may require bilateral coordination of hands, up to four hours of the workday.Working ConditionsEmployee performs approximately 95% of work indoors. Outside work will be required.Employee is exposed to intermittent indoor cold temperature extremes when working in the walk-in cooler and/or freezer.Equipment, Tools, and MaterialsEmployee must be able to utilize the following electric equipment: telephone, cash register, fuel console, lottery machine, money order machine, microwave, grill, coffee/cappuccino machine, etc.Employee must handle liquids, and certain cleaning solvents.Work ScheduleCommitted to work assigned hours and/or adjust work schedule as requested by manager.Must be able to work flexible hours (nights, weekends, and holidays.)Stores operate 24 hours a day, 7 days a week.Reasonable accommodations may be made to enable individuals with disabilities to perform essential job functions. Essential functions are job duties that an employee must be able to perform with or without reasonable accommodation. All of the responsibilities listed above are considered essential job functions to this position.This job description is subject to change at any time.Job Types: Full-time, Part-timePay: From $16.00 per hourBenefits:Flexible schedulePaid time offSchedule:8 hour shiftMonday to FridayOn callWeekend availabilityAbility to commute/relocate:Los Angeles, CA: Reliably commute or planning to relocate before starting work (Preferred)Education:High school or equivalent (Preferred)Shift availability:Overnight Shift (Preferred)Night Shift (Preferred)Day Shift (Preferred)Work Location: Multiple Locations"
